55000,114,101
55000,66,30
55000,84,31
55000,79,65
55000,55,36
55000,78,58
55000,66,24
55000,74,53
55000,41,17
55000,45,35
1000,1,0
1000,1,0
1000,1,0
1000,1,0
1000,1,0
1000,1,0
1000,0,0
1000,1,0
1000,1,0
1000,0,0
11000000,11162,4012
11000000,9639,3125
11000000,9284,3259
11000000,8050,2889
11000000,10934,2859
11000000,6713,3062
11000000,9698,3060
11000000,6013,2761
11000000,5378,2933
11000000,6688,2914
550000,318,127
550000,312,126
550000,301,126
550000,297,140
550000,332,141
550000,328,141
550000,332,141
550000,327,142
550000,323,128
550000,298,126
110000,80,61
110000,72,54
110000,81,61
110000,47,27
110000,81,62
110000,81,62
110000,79,60
110000,80,61
110000,53,35
110000,80,61
11000,8,5
11000,8,5
11000,7,5
11000,7,5
11000,7,5
11000,7,5
11000,7,5
11000,8,4
11000,22,2
11000,11,6
1100000,611,293
1100000,640,285
1100000,651,285
1100000,572,253
1100000,578,261
1100000,672,316
1100000,571,306
1100000,1199,514
1100000,975,510
1100000,782,432
4000,5,1
4000,5,1
4000,4,1
4000,4,1
4000,4,1
4000,3,1
4000,3,1
4000,3,1
4000,4,1
4000,3,1
